,,0,1,2,3,4
994,62,1,1,1,1,1
994,77,1,1,1,1,1
994,86,1,1,1,1,1
994,100,1,1,1,1,1
994,117,1,1,1,1,1
994,146,1,1,1,1,1
994,155,1,1,1,1,1
994,176,1,1,1,1,1
994,183,1,1,1,1,1
998,15,1,1,1,1,1
998,18,1,1,1,1,1
998,24,1,1,1,1,1
998,32,1,1,1,1,1
998,59,1,1,1,1,1
998,60,1,1,1,1,1
998,68,1,1,1,1,1
998,80,1,1,1,1,1
998,97,1,1,1,1,1
998,110,1,1,1,1,1
998,111,1,1,1,1,1
998,120,1,1,1,1,1
998,130,1,1,1,1,1
998,180,1,1,1,1,1
1003,36,1,1,1,1,1
1003,90,1,1,1,1,1
1003,94,1,1,1,1,1
1003,106,1,1,1,1,1
1003,148,1,1,1,1,1
1003,152,1,1,1,1,1
1003,154,1,1,1,1,1
1003,181,1,1,1,1,1
1016,20,1,1,1,1,1
1016,57,1,1,1,1,1
1016,62,1,1,1,1,1
1016,77,1,1,1,1,1
1016,86,1,1,1,1,1
1016,100,1,1,1,1,1
1016,117,1,1,1,1,1
1016,146,1,1,1,1,1
1016,155,1,1,1,1,1
1016,176,1,1,1,1,1
1016,183,1,1,1,1,1
1019,40,1,1,1,1,1
1019,50,1,1,1,1,1
1031,36,1,1,1,1,1
1031,90,1,1,1,1,1
1031,94,1,1,1,1,1
1031,106,1,1,1,1,1
1031,148,1,1,1,1,1
1031,152,1,1,1,1,1
1031,154,1,1,1,1,1
1031,181,1,1,1,1,1
1038,33,1,1,1,1,1
1038,47,1,1,1,1,1
1038,55,1,1,1,1,1
1038,75,1,1,1,1,1
1038,82,1,1,1,1,1
1038,115,1,1,1,1,1
1038,116,1,1,1,1,1
1038,124,1,1,1,1,1
1038,142,1,1,1,1,1
1038,145,1,1,1,1,1
1038,147,1,1,1,1,1
1038,162,1,1,1,1,1
1038,169,1,1,1,1,1
1047,63,1,1,1,1,1
1047,76,1,1,1,1,1
1047,108,1,1,1,1,1
1047,138,1,1,1,1,1
1047,139,1,1,1,1,1
1047,171,1,1,1,1,1
1048,14,1,1,1,1,1
1048,16,1,1,1,1,1
1048,46,1,1,1,1,1
1048,58,1,1,1,1,1
1048,103,1,1,1,1,1
1048,136,1,1,1,1,1
1048,153,1,1,1,1,1
1050,2,1,1,1,1,1
1050,13,1,1,1,1,1
1050,81,1,1,1,1,1
1050,84,1,1,1,1,1
1050,164,1,1,1,1,1
1050,167,1,1,1,1,1
1050,184,1,1,1,1,1
1050,193,1,1,1,1,1
1065,21,1,1,1,1,1
1065,122,1,1,1,1,1
1065,123,1,1,1,1,1
1065,149,1,1,1,1,1
1077,9,1,1,1,1,1
1077,19,1,1,1,1,1
1077,96,1,1,1,1,1
1077,101,1,1,1,1,1
1077,182,1,1,1,1,1
1083,51,1,1,1,1,1
1083,65,1,1,1,1,1
1083,74,1,1,1,1,1
1083,83,1,1,1,1,1
1083,109,1,1,1,1,1
1083,131,1,1,1,1,1
1083,133,1,1,1,1,1
1083,168,1,1,1,1,1
1083,178,1,1,1,1,1
1083,186,1,1,1,1,1
1083,194,1,1,1,1,1
